18-12-2023;1:12:49;9.50;63.00;0;306
18-12-2023;1:15:20;9.44;64.00;0;306
18-12-2023;1:17:2;9.44;64.00;0;306
18-12-2023;1:18:45;9.42;64.00;0;306
18-12-2023;1:20:27;9.39;64.00;0;306
18-12-2023;1:22:12;9.39;64.00;0;306
18-12-2023;1:24:44;9.33;65.00;0;306
18-12-2023;1:25:48;9.33;65.00;0;306
18-12-2023;1:28:9;9.31;65.00;0;306
18-12-2023;1:29:51;9.28;65.00;0;306
18-12-2023;1:31:44;9.28;65.00;0;306
18-12-2023;1:33:19;9.28;66.00;0;306
18-12-2023;1:34:59;9.22;66.00;0;306
18-12-2023;1:36:41;9.19;66.00;0;306
18-12-2023;1:38:24;9.17;66.00;0;306
18-12-2023;1:40:6;9.17;66.00;0;306
18-12-2023;1:41:51;9.11;66.00;0;306
18-12-2023;1:43:31;9.06;67.00;0;306
18-12-2023;1:45:14;9.06;67.00;0;306
18-12-2023;1:46:56;9.00;67.00;0;306
18-12-2023;1:48:39;8.94;68.00;0;306
18-12-2023;1:50:21;8.94;68.00;0;306
18-12-2023;1:52:6;8.89;68.00;0;306
18-12-2023;1:54:37;8.83;68.00;0;306
18-12-2023;1:56:20;8.78;68.00;0;306
18-12-2023;1:58:3;8.78;68.00;0;306
18-12-2023;1:59:45;8.72;68.00;0;306
18-12-2023;2:0:47;8.72;68.00;0;306
18-12-2023;2:3:10;8.67;69.00;0;306
18-12-2023;2:5:44;8.56;69.00;0;306
18-12-2023;2:8:18;8.50;69.00;0;306
18-12-2023;2:10:10;8.44;69.00;0;306
18-12-2023;2:11:43;8.43;69.00;0;306
18-12-2023;2:13:25;8.39;70.00;0;306
18-12-2023;2:15:8;8.33;70.00;0;306
18-12-2023;2:16:50;8.28;70.00;0;306
18-12-2023;2:18:33;8.28;69.00;0;306
18-12-2023;2:20:18;8.22;70.00;0;306
18-12-2023;2:22:49;8.14;70.00;0;306
18-12-2023;2:24:31;8.11;70.00;0;306
18-12-2023;2:26:14;8.06;70.00;0;306
18-12-2023;2:27:56;8.00;70.00;0;306
18-12-2023;2:29:41;7.94;70.00;0;306
18-12-2023;2:32:13;7.87;71.00;0;306
18-12-2023;2:34:46;7.83;71.00;0;306
