=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.18 17:08:21 =~=~=~=~=~=~=~=~=~=~=~=
Dormir: 1
Dormir: 1
Dormir: 1
368982:  1 - Data: 9B E7 83 69 9C F3 77 66 46 80   RSSI: -105 CRC: ERROR
370888:  1 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -74 CRC: OK
371226:  1 - Data: A0 0 D0 48 2B 0 27 3B FF FF   RSSI: -85 CRC: OK
Dormir: 1
373233:  2 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -81 CRC: OK
373520:  2 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -74 CRC: OK
373796:  2 - Data: 80 0 D0 1F CB 0 D9 DF FF FF   RSSI: -85 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:11:42
Estacion ID: 0
Temperatura: 10.44 ºC -- Humedad: 58.00
Dirección del viento: 287 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:11:42;10.44;58.00;0;287

Appending to file: /Estacion1_17_12_2023.csv
Message appended
---------------------- Estacion: 2 -- ID: 1
376176:  3 - Data: C8 1A 1C E6 2D DB 1C 7C E1 E1   RSSI: -105 CRC: ERROR
376365:  3 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
Dormir: 1
378474:  4 - Data: 64 0 0 FF C5 0 7F 7B FF FF   RSSI: -81 CRC: OK
378782:  4 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -74 CRC: OK
Dormir: 1
380789:  0 - Data: 84 0 0 2D 5D 0 6E F5 FF FF   RSSI: -84 CRC: OK
381413:  0 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -74 CRC: OK
Dormir: 1
383420:  1 - Data: E4 0 0 80 5 0 49 36 FF FF   RSSI: -84 CRC: OK
384044:  1 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -74 CRC: OK
Dormir: 1
386051:  2 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -80 CRC: OK
386639:  2 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -86 CRC: OK
386675:  2 - Data: 91 0 0 0 5 0 74 F1 FF FF   RSSI: -74 CRC: OK
Dormir: 1
388707:  3 - Data: 44 0 0 FF C5 0 4A 73 FF FF   RSSI: -82 CRC: OK
389208:  3 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -85 CRC: OK
389307:  3 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -74 CRC: OK
Dormir: 1
391527:  4 - Data: 84 0 0 2D 5D 0 6E F5 FF FF   RSSI: -80 CRC: OK
391778:  4 - Data: 60 0 D0 0 C3 0 B4 1C FF FF   RSSI: -85 CRC: OK
391940:  4 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -74 CRC: OK
Dormir: 1
394346:  0 - Data: F0 0 0 40 0 0 FB E1 FF FF   RSSI: -81 CRC: ERROR
394570:  0 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -73 CRC: OK
Dormir: 1
396914:  1 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
397163:  1 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -85 CRC: OK
397201:  1 - Data: A1 0 0 CC 1D 0 82 31 FF FF   RSSI: -75 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:12:5
Estacion ID: 1
Temperatura: 17.83 ºC -- Humedad: 46.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:12:5;17.83;46.00;0;9

Appending to file: /Estacion2_17_12_2023.csv
Message appended
---------------------- Estacion: 3 -- ID: 4
399552:  2 - Data: B3 14 26 AA D6 7E 67 B9 83 B   RSSI: -110 CRC: ERROR
399832:  2 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -75 CRC: OK
399982:  2 - Data: 94 0 0 0 5 0 37 F0 FF FF   RSSI: -84 CRC: OK
Dormir: 1
402053:  3 - Data: 40 0 D0 0 3 0 97 40 FF FF   RSSI: -84 CRC: OK
402464:  3 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -75 CRC: OK
402802:  3 - Data: 84 0 0 2D 5D 0 6E F5 FF FF   RSSI: -86 CRC: OK
Dormir: 1
405095:  4 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -71 CRC: OK
Dormir: 1
407668:  0 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -79 CRC: OK
407727:  0 - Data: A1 0 0 CC 1D 0 82 31 FF FF   RSSI: -75 CRC: OK
408439:  0 - Data: 54 0 0 FF 75 0 4E FA FF FF   RSSI: -77 CRC: OK
Dormir: 1
410446:  1 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -72 CRC: OK
411258:  1 - Data: A4 0 0 70 1D 0 4A AE FF FF   RSSI: -75 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:12:19
Estacion ID: 4
Temperatura: 22.50 ºC -- Humedad: 36.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
