fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;01:15:14;19,72;62.0;0.0;9.0;E2_P2;2023-12-14 01:15:14;0 days 00:00:20;0 days 00:00:20;20.0;0
2023-12-14;01:15:46;19,72;63.0;0.0;9.0;E2_P1;2023-12-14 01:15:46;0 days 00:00:32;0 days 00:00:32;32.0;0
2023-12-14;01:16:11;19,72;62.0;0.0;9.0;E2_P2;2023-12-14 01:16:11;0 days 00:00:25;0 days 00:00:25;25.0;0
2023-12-14;01:16:49;19,72;62.0;0.0;9.0;E2_P1;2023-12-14 01:16:49;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;01:17:15;19,72;62.0;0.0;9.0;E2_P2;2023-12-14 01:17:15;0 days 00:00:26;0 days 00:00:26;26.0;0
2023-12-14;01:17:34;19,72;62.0;0.0;9.0;E2_P1;2023-12-14 01:17:34;0 days 00:00:19;0 days 00:00:19;19.0;0
2023-12-14;01:18:57;19,74;62.0;0.0;9.0;E2_P2;2023-12-14 01:18:57;0 days 00:01:23;0 days 00:01:23;83.0;0
2023-12-14;01:20:09;19,72;62.0;0.0;9.0;E2_P1;2023-12-14 01:20:09;0 days 00:01:12;0 days 00:01:12;72.0;0
2023-12-14;01:20:49;19,78;62.0;0.0;9.0;E2_P2;2023-12-14 01:20:49;0 days 00:00:40;0 days 00:00:40;40.0;0
2023-12-14;01:21:04;19,72;62.0;0.0;9.0;E2_P1;2023-12-14 01:21:04;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;01:21:57;19,78;62.0;0.0;9.0;E2_P2;2023-12-14 01:21:57;0 days 00:00:53;0 days 00:00:53;53.0;0
2023-12-14;01:22:46;19,78;62.0;0.0;9.0;E2_P1;2023-12-14 01:22:46;0 days 00:00:49;0 days 00:00:49;49.0;0
2023-12-14;01:23:49;19,8;62.0;0.0;9.0;E2_P2;2023-12-14 01:23:49;0 days 00:01:03;0 days 00:01:03;63.0;0
2023-12-14;01:24:31;19,78;62.0;0.0;9.0;E2_P1;2023-12-14 01:24:31;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:25:30;19,78;62.0;0.0;9.0;E2_P2;2023-12-14 01:25:30;0 days 00:00:59;0 days 00:00:59;59.0;0
2023-12-14;01:26:16;19,78;62.0;0.0;9.0;E2_P1;2023-12-14 01:26:16;0 days 00:00:46;0 days 00:00:46;46.0;0
2023-12-14;01:27:23;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:27:23;0 days 00:01:07;0 days 00:01:07;67.0;0
2023-12-14;01:28:01;19,78;62.0;0.0;9.0;E2_P1;2023-12-14 01:28:01;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;01:28:22;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:28:22;0 days 00:00:21;0 days 00:00:21;21.0;0
2023-12-14;01:29:04;19,78;61.0;0.0;9.0;E2_P1;2023-12-14 01:29:04;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:29:29;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:29:29;0 days 00:00:25;0 days 00:00:25;25.0;0
2023-12-14;01:30:39;19,81;61.0;0.0;9.0;E2_P1;2023-12-14 01:30:39;0 days 00:01:10;0 days 00:01:10;70.0;0
2023-12-14;01:31:08;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:31:08;0 days 00:00:29;0 days 00:00:29;29.0;0
