;fecha;hora;;;;;;;;
Middle-DT2;12/03/2024;11:26:47;1.40;73.60;12.87;302;16.09;300;-50;Ok
Middle-DT2;12/03/2024;11:27:56;1.39;73.50;11.27;301;11.27;301;-50;Ok
Middle-DT2;12/03/2024;11:30:27;1.44;74.70;12.07;311;14.48;329;-50;Ok
Middle-DT2;12/03/2024;11:32:17;1.44;74.50;13.20;313;14.48;321;-50;Ok
Middle-DT2;12/03/2024;11:34:07;1.50;74.20;15.22;326;16.09;328;-50;Ok
Middle-DT2;12/03/2024;11:36:08;1.50;74.00;14.48;315;16.09;321;-50;Ok
Middle-DT2;12/03/2024;11:38:42;1.44;73.20;13.52;308;16.09;314;-50;Ok
Middle-DT2;12/03/2024;11:40:43;1.44;73.90;12.87;312;12.87;317;-50;Ok
Middle-DT2;12/03/2024;11:42:22;1.44;74.60;14.48;329;16.09;332;-50;Ok
Middle-DT2;12/03/2024;11:45:18;1.42;74.20;14.89;311;16.09;306;-50;Ok
Middle-DT2;12/03/2024;11:46:57;1.42;74.60;13.31;305;14.48;306;-50;Ok
Middle-DT2;12/03/2024;11:48:06;1.39;75.20;17.70;317;19.31;316;-50;Ok
Middle-DT2;12/03/2024;11:50:37;1.44;75.60;15.39;312;19.31;314;-50;Ok
Middle-DT2;12/03/2024;11:51:32;1.50;76.30;13.28;315;14.48;317;-50;Ok
Middle-DT2;12/03/2024;11:53:33;1.50;75.70;16.50;319;17.70;321;-50;Ok
Middle-DT2;12/03/2024;11:55:12;1.50;76.30;12.57;294;16.09;301;-50;Ok
Middle-DT2;12/03/2024;11:57:02;1.56;76.30;13.68;306;14.48;309;-51;Ok
Middle-DT2;12/03/2024;11:58:52;1.56;76.70;12.58;297;14.48;308;-50;Ok
Middle-DT2;12/03/2024;12:00:42;1.58;75.80;16.74;292;19.31;293;-50;Ok
Middle-DT2;12/03/2024;12:02:32;1.56;76.80;13.09;311;16.09;308;-50;Ok
Middle-DT2;12/03/2024;12:04:22;1.56;76.20;16.09;309;17.70;306;-50;Ok
Middle-DT2;12/03/2024;12:06:15;1.50;76.70;14.48;317;16.09;314;-50;Ok
Middle-DT2;12/03/2024;12:08:02;1.50;76.90;17.06;316;17.70;321;-50;Ok
Middle-DT2;12/03/2024;12:08:57;1.50;77.00;15.13;312;16.09;316;-50;Ok
Middle-DT2;12/03/2024;12:10:47;1.56;77.40;14.37;301;16.09;312;-50;Ok
Middle-DT2;12/03/2024;12:12:37;1.56;76.60;14.02;312;14.48;313;-50;Ok
Middle-DT2;12/03/2024;12:14:27;1.50;76.90;11.44;307;12.87;304;-50;Ok
Middle-DT2;12/03/2024;12:16:17;1.56;77.20;10.86;312;12.87;313;-50;Ok
Middle-DT2;12/03/2024;12:18:10;1.56;77.30;10.46;306;11.27;308;-50;Ok
Middle-DT2;12/03/2024;12:19:57;1.56;77.40;15.20;321;17.70;318;-50;Ok
Middle-DT2;12/03/2024;12:21:47;1.56;77.30;14.81;323;16.09;316;-50;Ok
Middle-DT2;12/03/2024;12:24:32;1.58;77.70;12.44;310;14.48;317;-50;Ok
Middle-DT2;12/03/2024;12:25:41;1.61;77.40;12.87;306;12.87;304;-50;Ok
Middle-DT2;12/03/2024;12:28:13;1.61;77.00;13.30;315;16.09;314;-50;Ok
Middle-DT2;12/03/2024;12:30:05;1.56;76.70;12.87;313;12.87;310;-50;Ok
Middle-DT2;12/03/2024;12:31:55;1.61;76.20;12.07;299;12.87;291;-50;Ok
Middle-DT2;12/03/2024;12:33:45;1.67;75.90;14.48;299;14.48;297;-50;Ok
Middle-DT2;12/03/2024;12:35:33;1.63;74.30;12.76;290;16.09;310;-50;Ok
Middle-DT2;12/03/2024;12:37:23;1.61;73.30;13.41;303;16.09;309;-50;Ok
Middle-DT2;12/03/2024;12:38:31;1.67;73.40;18.91;302;19.31;305;-50;Ok
Middle-DT2;12/03/2024;12:41:03;1.59;72.30;13.90;300;16.09;316;-50;Ok
Middle-DT2;12/03/2024;12:42:55;1.67;73.00;17.70;317;20.92;317;-50;Ok
Middle-DT2;12/03/2024;12:44:43;1.67;72.40;18.51;311;20.92;316;-50;Ok
Middle-DT2;12/03/2024;12:46:33;1.67;71.70;18.51;312;22.53;320;-50;Ok
Middle-DT2;12/03/2024;12:48:23;1.67;70.40;21.24;304;24.14;312;-50;Ok
Middle-DT2;12/03/2024;12:51:08;1.72;70.70;20.92;318;24.14;324;-50;Ok
Middle-DT2;12/03/2024;12:53:53;1.67;68.70;21.78;310;25.75;312;-50;Ok
Middle-DT2;12/03/2024;12:55:01;1.67;68.70;18.51;302;19.31;304;-50;Ok
Middle-DT2;12/03/2024;12:57:33;1.76;67.90;23.45;332;28.97;334;-50;Ok
Middle-DT2;12/03/2024;12:59:23;1.78;67.50;17.17;326;19.31;336;-50;Ok
Middle-DT2;12/03/2024;13:01:13;1.78;67.10;21.19;319;22.53;320;-50;Ok
Middle-DT2;12/03/2024;13:03:17;1.72;66.60;21.99;330;22.53;329;-50;Ok
Middle-DT2;12/03/2024;13:05:48;1.68;67.90;17.10;325;20.92;333;-50;Ok
Middle-DT2;12/03/2024;13:06:43;1.72;66.70;17.30;331;19.31;333;-50;Ok
Middle-DT2;12/03/2024;13:07:51;1.78;67.80;20.12;315;20.92;313;-50;Ok
Middle-DT2;12/03/2024;13:10:23;1.72;67.00;18.24;319;19.31;320;-50;Ok
Middle-DT2;12/03/2024;13:12:13;1.72;67.30;15.29;310;16.09;309;-50;Ok
Middle-DT2;12/03/2024;13:14:03;1.67;67.90;14.92;313;16.09;318;-50;Ok
Middle-DT2;12/03/2024;13:15:53;1.72;68.10;18.58;321;20.92;325;-50;Ok
Middle-DT2;12/03/2024;13:17:43;1.83;67.40;21.80;325;24.14;324;-50;Ok
Middle-DT2;12/03/2024;13:19:33;1.89;67.20;15.29;313;16.09;312;-50;Ok
Middle-DT2;12/03/2024;13:22:18;1.94;67.50;14.81;325;16.09;312;-50;Ok
Middle-DT2;12/03/2024;13:25:03;2.11;68.00;12.07;303;12.87;304;-50;Ok
Middle-DT2;12/03/2024;13:26:53;2.19;66.80;19.31;313;20.92;312;-49;Ok
Middle-DT2;12/03/2024;13:28:43;2.17;66.30;17.38;300;20.92;297;-50;Ok
Middle-DT2;12/03/2024;13:31:28;2.17;66.20;17.81;305;20.92;330;-50;Ok
Middle-DT2;12/03/2024;13:33:29;2.11;66.20;16.50;323;17.70;330;-49;Ok
Middle-DT2;12/03/2024;13:35:08;2.17;66.10;16.50;321;17.70;326;-49;Ok
Middle-DT2;12/03/2024;13:37:01;2.28;68.00;19.85;318;20.92;313;-49;Ok
Middle-DT2;12/03/2024;13:39:43;2.28;64.40;19.31;322;20.92;318;-50;Ok
Middle-DT2;12/03/2024;13:40:52;2.17;66.10;19.31;319;20.92;325;-49;Ok
Middle-DT2;12/03/2024;13:42:28;2.11;65.80;17.57;327;20.92;318;-50;Ok
Middle-DT2;12/03/2024;13:44:18;2.06;66.20;18.11;302;20.92;302;-50;Ok
Middle-DT2;12/03/2024;13:46:11;2.06;65.90;15.29;308;16.09;308;-50;Ok
Middle-DT2;12/03/2024;13:47:58;2.03;66.70;18.78;317;22.53;322;-50;Ok
Middle-DT2;12/03/2024;13:50:43;2.06;67.20;19.04;310;24.14;310;-50;Ok
Middle-DT2;12/03/2024;13:52:33;2.11;67.80;18.51;330;20.92;341;-50;Ok
Middle-DT2;12/03/2024;13:53:42;2.11;68.00;14.48;332;14.48;336;-49;Ok
Middle-DT2;12/03/2024;13:55:18;2.22;69.40;18.11;331;20.92;334;-50;Ok
Middle-DT2;12/03/2024;13:57:08;2.28;68.40;20.52;309;24.14;316;-50;Ok
Middle-DT2;12/03/2024;13:59:01;2.33;68.40;13.68;318;14.48;320;-50;Ok
Middle-DT2;12/03/2024;14:00:48;2.39;70.40;18.02;326;19.31;333;-50;Ok
Middle-DT2;12/03/2024;14:02:38;2.39;69.80;20.28;332;20.92;333;-50;Ok
Middle-DT2;12/03/2024;14:05:23;2.28;70.30;14.94;308;17.70;309;-50;Ok
Middle-DT2;12/03/2024;14:06:32;2.28;69.00;18.91;319;19.31;317;-50;Ok
Middle-DT2;12/03/2024;14:08:08;2.22;69.50;20.92;309;24.14;322;-50;Ok
Middle-DT2;12/03/2024;14:09:58;2.17;69.00;20.92;300;24.14;301;-50;Ok
Middle-DT2;12/03/2024;14:12:43;2.14;70.10;19.79;322;22.53;325;-50;Ok
Middle-DT2;12/03/2024;14:14:33;2.28;70.60;17.70;320;19.31;324;-50;Ok
Middle-DT2;12/03/2024;14:17:18;2.33;70.10;22.38;252;25.75;341;-50;Ok
Middle-DT2;12/03/2024;14:19:08;2.33;69.50;20.78;308;24.14;308;-50;Ok
Middle-DT2;12/03/2024;14:20:58;2.22;70.30;57.48;305;280.03;132;-50;Ok
Middle-DT2;12/03/2024;14:21:56;2.28;70.30;22.13;313;22.53;310;-50;Ok
Middle-DT2;12/03/2024;14:23:46;2.33;71.20;21.73;321;24.14;317;-50;Ok
Middle-DT2;12/03/2024;14:26:28;2.33;70.60;17.17;333;17.70;329;-50;Ok
Middle-DT2;12/03/2024;14:28:18;2.39;70.60;16.96;309;19.31;304;-50;Ok
Middle-DT2;12/03/2024;14:29:13;2.39;71.20;13.68;335;14.48;336;-50;Ok
Middle-DT2;12/03/2024;14:31:03;2.44;71.70;19.31;290;24.14;9;-50;Ok
Middle-DT2;12/03/2024;14:34:43;2.37;71.60;19.71;324;22.53;326;-50;Ok
Middle-DT2;12/03/2024;14:35:49;2.33;71.20;15.29;330;16.09;342;-50;Ok
Middle-DT2;12/03/2024;14:37:31;2.44;72.60;20.12;348;20.92;345;-50;Ok
Middle-DT2;12/03/2024;14:39:18;2.50;71.20;24.94;339;27.36;337;-50;Ok
Middle-DT2;12/03/2024;14:41:08;2.44;71.30;13.10;333;14.48;342;-50;Ok
Middle-DT2;12/03/2024;14:42:58;2.50;71.60;17.24;249;19.31;9;-50;Ok
Middle-DT2;12/03/2024;14:44:07;2.50;71.20;17.70;347;19.31;351;-50;Ok
Middle-DT2;12/03/2024;14:46:38;2.36;71.60;23.44;323;25.75;345;-49;Ok
Middle-DT2;12/03/2024;14:47:36;2.28;72.10;17.70;9;19.31;9;-49;Ok
Middle-DT2;12/03/2024;14:49:23;2.31;72.70;15.49;280;19.31;351;-49;Ok
Middle-DT2;12/03/2024;14:51:13;2.39;72.60;18.51;345;22.53;348;-49;Ok
Middle-DT2;12/03/2024;14:53:03;2.28;72.40;18.24;287;19.31;342;-49;Ok
Middle-DT2;12/03/2024;14:54:53;2.19;72.30;16.97;340;19.31;337;-48;Ok
Middle-DT2;12/03/2024;14:57:38;2.22;71.60;19.71;259;22.53;351;-49;Ok
Middle-DT2;12/03/2024;14:59:39;2.11;71.40;17.70;343;19.31;342;-49;Ok
Middle-DT2;12/03/2024;15:02:16;2.17;72.30;16.09;340;17.70;341;-49;Ok
Middle-DT2;12/03/2024;15:04:03;2.17;71.50;21.19;342;22.53;340;-49;Ok
Middle-DT2;12/03/2024;15:05:53;2.11;73.10;18.78;336;20.92;336;-49;Ok
Middle-DT2;12/03/2024;15:07:43;2.17;72.40;15.93;144;17.70;9;-49;Ok
Middle-DT2;12/03/2024;15:08:52;2.17;72.60;21.99;12;24.14;11;-49;Ok
Middle-DT2;12/03/2024;15:11:23;2.11;73.40;14.99;216;16.09;342;-48;Ok
Middle-DT2;12/03/2024;15:12:18;2.17;72.50;18.51;347;19.31;351;-49;Ok
Middle-DT2;12/03/2024;15:14:11;2.17;72.70;20.92;178;22.53;9;-49;Ok
Middle-DT2;12/03/2024;15:16:01;2.22;73.20;15.02;126;16.09;11;-49;Ok
Middle-DT2;12/03/2024;15:17:48;2.22;72.40;17.70;65;19.31;9;-48;Ok
Middle-DT2;12/03/2024;15:20:33;2.06;72.30;17.12;134;17.70;351;-49;Ok
Middle-DT2;12/03/2024;15:22:23;2.00;72.90;18.64;120;24.14;348;-49;Ok
Middle-DT2;12/03/2024;15:25:08;1.86;73.70;17.49;12;20.92;21;-49;Ok
Middle-DT2;12/03/2024;15:27:53;1.94;74.20;15.77;15;19.31;10;-49;Ok
Middle-DT2;12/03/2024;15:29:43;2.06;74.60;11.27;147;11.27;351;-49;Ok
Middle-DT2;12/03/2024;15:31:33;2.06;74.10;14.02;131;16.09;9;-49;Ok
Middle-DT2;12/03/2024;15:33:23;2.17;75.10;15.80;14;19.31;18;-49;Ok
Middle-DT2;12/03/2024;15:36:08;2.28;73.50;16.90;13;22.53;19;-49;Ok
Middle-DT2;12/03/2024;15:38:01;2.28;71.20;18.51;10;19.31;11;-49;Ok
Middle-DT2;12/03/2024;15:39:51;2.28;72.40;16.90;351;19.31;351;-49;Ok
Middle-DT2;12/03/2024;15:40:43;2.25;72.90;19.31;84;22.53;9;-49;Ok
Middle-DT2;12/03/2024;15:42:33;2.22;72.90;21.89;77;24.14;13;-49;Ok
Middle-DT2;12/03/2024;15:45:19;2.22;73.90;17.56;12;22.53;18;-49;Ok
Middle-DT2;12/03/2024;15:47:09;2.30;74.20;17.82;13;19.31;17;-49;Ok
Middle-DT2;12/03/2024;15:48:59;2.28;74.20;19.96;12;22.53;9;-49;Ok
Middle-DT2;12/03/2024;15:50:51;2.33;74.90;19.31;9;19.31;9;-49;Ok
Middle-DT2;12/03/2024;15:52:41;2.33;74.60;16.90;21;17.70;23;-49;Ok
Middle-DT2;12/03/2024;15:54:29;2.22;74.40;20.38;11;20.92;17;-49;Ok
Middle-DT2;12/03/2024;15:56:19;2.17;75.20;21.96;9;24.14;10;-49;Ok
Middle-DT2;12/03/2024;15:58:09;2.11;74.80;16.09;17;19.31;23;-49;Ok
Middle-DT2;12/03/2024;15:59:17;2.11;75.30;21.32;11;22.53;14;-49;Ok
Middle-DT2;12/03/2024;16:02:44;2.15;75.70;20.82;32;24.14;14;-49;Ok
Middle-DT2;12/03/2024;16:04:36;2.17;75.10;20.12;13;20.92;14;-48;Ok
Middle-DT2;12/03/2024;16:06:24;2.22;76.00;21.57;10;24.14;18;-49;Ok
Middle-DT2;12/03/2024;16:08:14;2.22;74.60;23.60;179;24.14;13;-49;Ok
Middle-DT2;12/03/2024;16:10:04;2.17;76.50;18.51;15;20.92;17;-49;Ok
Middle-DT2;12/03/2024;16:12:49;2.22;75.50;20.92;24;25.75;33;-49;Ok
Middle-DT2;12/03/2024;16:14:39;2.22;75.80;21.99;17;27.36;25;-48;Ok
Middle-DT2;12/03/2024;16:18:19;2.14;76.80;16.58;25;19.31;25;-48;Ok
Middle-DT2;12/03/2024;16:20:09;2.28;76.70;20.38;31;22.53;37;-48;Ok
Middle-DT2;12/03/2024;16:22:54;2.25;75.80;22.68;10;25.75;10;-48;Ok
Middle-DT2;12/03/2024;16:24:02;2.17;76.10;17.30;18;17.70;18;-48;Ok
Middle-DT2;12/03/2024;16:26:34;2.17;76.20;18.61;29;20.92;29;-48;Ok
Middle-DT2;12/03/2024;16:27:29;2.17;76.20;16.50;24;17.70;30;-48;Ok
Middle-DT2;12/03/2024;16:29:21;2.17;76.70;14.48;26;16.09;25;-49;Ok
Middle-DT2;12/03/2024;16:31:09;2.22;75.60;18.24;26;20.92;26;-48;Ok
Middle-DT2;12/03/2024;16:32:59;2.11;75.60;24.14;27;27.36;29;-48;Ok
Middle-DT2;12/03/2024;16:34:49;2.00;75.30;19.54;38;24.14;34;-48;Ok
Middle-DT2;12/03/2024;16:36:53;1.94;75.20;22.53;30;25.75;26;-48;Ok
Middle-DT2;12/03/2024;16:38:29;1.94;75.60;21.95;36;25.75;33;-48;Ok
Middle-DT2;12/03/2024;16:41:14;2.00;75.90;16.90;23;20.92;17;-48;Ok
Middle-DT2;12/03/2024;16:42:20;2.11;77.70;17.70;41;20.92;35;-49;Ok
Middle-DT2;12/03/2024;16:43:59;2.17;77.80;19.58;25;24.14;25;-49;Ok
Middle-DT2;12/03/2024;16:46:42;2.24;-1.00;19.66;33;22.53;50;-49;Ok
Middle-DT2;12/03/2024;16:48:34;2.14;78.20;17.56;40;20.92;42;-49;Ok
Middle-DT2;12/03/2024;16:50:24;2.17;77.20;18.78;40;22.53;57;-48;Ok
Middle-DT2;12/03/2024;16:52:17;2.11;77.10;20.92;40;22.53;39;-48;Ok
Middle-DT2;12/03/2024;16:53:12;2.06;77.00;25.75;44;25.75;43;-49;Ok
Middle-DT2;12/03/2024;16:55:02;2.00;77.20;28.16;34;28.97;34;-49;Ok
Middle-DT2;12/03/2024;16:57:44;1.94;77.10;24.68;31;28.97;26;-47;Ok
Middle-DT2;12/03/2024;16:59:34;1.94;76.90;20.92;29;25.75;34;-48;Ok
Middle-DT2;12/03/2024;17:01:27;1.94;77.20;21.73;39;22.53;43;-47;Ok
Middle-DT2;12/03/2024;17:03:14;2.03;77.40;19.75;36;22.53;38;-48;Ok
Middle-DT2;12/03/2024;17:05:04;2.06;75.90;26.96;24;27.36;18;-47;Ok
Middle-DT2;12/03/2024;17:06:57;2.06;76.50;20.92;30;20.92;34;-48;Ok
Middle-DT2;12/03/2024;17:08:44;2.00;77.00;19.31;35;20.92;43;-47;Ok
Middle-DT2;12/03/2024;17:11:29;2.00;78.00;19.77;31;24.14;31;-47;Ok
Middle-DT2;12/03/2024;17:14:14;2.03;78.00;22.97;39;25.75;41;-48;Ok
Middle-DT2;12/03/2024;17:16:59;2.00;77.30;25.40;35;28.97;42;-48;Ok
Middle-DT2;12/03/2024;17:18:49;1.99;77.60;25.05;38;28.97;43;-47;Ok
Middle-DT2;12/03/2024;17:20:39;1.89;77.90;23.60;45;27.36;46;-48;Ok
Middle-DT2;12/03/2024;17:21:34;1.83;77.50;26.07;46;28.97;39;-48;Ok
Middle-DT2;12/03/2024;17:23:24;1.89;77.40;22.53;33;24.14;38;-47;Ok
Middle-DT2;12/03/2024;17:26:12;1.89;77.50;25.75;51;27.36;63;-47;Ok
Middle-DT2;12/03/2024;17:27:59;1.85;77.80;22.21;37;25.75;34;-47;Ok
Middle-DT2;12/03/2024;17:29:49;1.86;77.20;22.37;45;24.14;41;-47;Ok
Middle-DT2;12/03/2024;17:33:29;1.83;77.90;23.12;50;25.75;57;-47;Ok
Middle-DT2;12/03/2024;17:35:19;1.89;77.70;23.87;53;25.75;61;-47;Ok
Middle-DT2;12/03/2024;17:36:14;1.89;77.10;24.50;47;25.75;43;-47;Ok
Middle-DT2;12/03/2024;17:38:59;1.89;77.50;21.65;48;24.14;62;-47;Ok
Middle-DT2;12/03/2024;17:41:00;1.89;77.60;22.33;47;25.75;43;-47;Ok
Middle-DT2;12/03/2024;17:42:42;1.83;77.70;20.52;51;22.53;57;-47;Ok
Middle-DT2;12/03/2024;17:44:32;1.83;78.00;21.73;55;22.53;55;-47;Ok
Middle-DT2;12/03/2024;17:47:14;1.78;78.30;24.14;50;25.75;50;-47;Ok
Middle-DT2;12/03/2024;17:49:04;1.81;78.30;25.11;47;27.36;54;-47;Ok
Middle-DT2;12/03/2024;17:49:59;1.78;77.90;26.29;49;28.97;49;-47;Ok
Middle-DT2;12/03/2024;17:51:49;1.78;78.20;27.36;51;28.97;51;-47;Ok
Middle-DT2;12/03/2024;17:55:29;1.78;78.70;22.21;48;24.14;46;-47;Ok
Middle-DT2;12/03/2024;17:58:14;1.78;78.50;21.10;56;22.53;57;-47;Ok
Middle-DT2;12/03/2024;18:00:07;1.83;78.20;22.53;52;22.53;53;-47;Ok
Middle-DT2;12/03/2024;18:01:54;1.83;78.20;23.80;50;25.75;63;-47;Ok
Middle-DT2;12/03/2024;18:03:47;1.83;78.30;23.60;52;24.14;53;-47;Ok
Middle-DT2;12/03/2024;18:05:34;1.83;77.80;20.92;43;25.75;49;-47;Ok
Middle-DT2;12/03/2024;18:08:19;1.87;77.60;19.96;46;22.53;41;-47;Ok
Middle-DT2;12/03/2024;18:10:12;1.94;77.40;21.73;53;22.53;45;-47;Ok
